IP地址,端口,TLS,数据中心,地区,城市,网络延迟
198.1.242.82,20201,TRUE,LHR,Europe,London,218 ms
198.1.242.209,20176,TRUE,LHR,Europe,London,218 ms
198.1.242.195,13324,TRUE,LHR,Europe,London,218 ms
198.1.242.220,20076,TRUE,LHR,Europe,London,219 ms
198.1.242.211,14891,TRUE,LHR,Europe,London,219 ms
143.20.231.212,20201,TRUE,LHR,Europe,London,219 ms
143.20.231.34,18080,TRUE,LHR,Europe,London,219 ms
143.20.231.204,20167,TRUE,LHR,Europe,London,219 ms
143.20.231.152,20056,TRUE,LHR,Europe,London,219 ms
198.1.242.76,20228,TRUE,LHR,Europe,London,219 ms
198.1.242.71,18113,TRUE,LHR,Europe,London,219 ms
143.20.231.210,14330,TRUE,LHR,Europe,London,219 ms
198.1.242.95,20126,TRUE,LHR,Europe,London,219 ms
57.128.171.102,8080,TRUE,LHR,Europe,London,219 ms
143.20.231.140,20119,TRUE,LHR,Europe,London,219 ms
143.20.231.113,11701,TRUE,LHR,Europe,London,219 ms
143.20.231.102,20176,TRUE,LHR,Europe,London,219 ms
143.20.231.195,20167,TRUE,LHR,Europe,London,219 ms
198.1.242.201,20238,TRUE,LHR,Europe,London,219 ms
143.20.231.138,20043,TRUE,LHR,Europe,London,219 ms
198.1.242.216,12288,TRUE,LHR,Europe,London,219 ms
198.1.242.221,12343,TRUE,LHR,Europe,London,219 ms
143.20.231.159,20119,TRUE,LHR,Europe,London,219 ms
143.20.231.49,20179,TRUE,LHR,Europe,London,219 ms
188.211.233.163,20046,TRUE,LHR,Europe,London,219 ms
143.20.231.195,20183,TRUE,LHR,Europe,London,219 ms
143.20.231.192,11581,TRUE,LHR,Europe,London,219 ms
198.1.242.69,20076,TRUE,LHR,Europe,London,219 ms
143.20.231.193,20027,TRUE,LHR,Europe,London,219 ms
143.20.231.214,20168,TRUE,LHR,Europe,London,219 ms
143.20.231.117,20133,TRUE,LHR,Europe,London,219 ms
143.20.231.220,20011,TRUE,LHR,Europe,London,219 ms
143.20.231.107,20168,TRUE,LHR,Europe,London,219 ms
198.1.242.206,14891,TRUE,LHR,Europe,London,219 ms
143.20.231.50,11401,TRUE,LHR,Europe,London,219 ms
143.20.231.48,20183,TRUE,LHR,Europe,London,219 ms
188.211.233.163,20126,TRUE,LHR,Europe,London,219 ms
143.20.231.46,13080,TRUE,LHR,Europe,London,220 ms
198.1.242.92,20041,TRUE,LHR,Europe,London,220 ms
143.20.231.39,20041,TRUE,LHR,Europe,London,220 ms
198.1.242.212,11581,TRUE,LHR,Europe,London,220 ms
143.20.231.47,20142,TRUE,LHR,Europe,London,220 ms
198.1.242.221,20124,TRUE,LHR,Europe,London,220 ms
198.1.242.201,20041,TRUE,LHR,Europe,London,220 ms
143.20.231.207,20010,TRUE,LHR,Europe,London,220 ms
143.20.231.35,18080,TRUE,LHR,Europe,London,220 ms
198.1.242.223,18001,TRUE,LHR,Europe,London,220 ms
143.20.231.215,20027,TRUE,LHR,Europe,London,220 ms
143.20.231.199,20123,TRUE,LHR,Europe,London,220 ms
198.1.242.211,20443,TRUE,LHR,Europe,London,220 ms
143.20.231.152,20202,TRUE,LHR,Europe,London,220 ms
198.1.242.218,20041,TRUE,LHR,Europe,London,220 ms
143.20.231.148,20146,TRUE,LHR,Europe,London,220 ms
143.20.231.140,20020,TRUE,LHR,Europe,London,220 ms
198.1.242.210,12265,TRUE,LHR,Europe,London,220 ms
198.1.242.95,11581,TRUE,LHR,Europe,London,220 ms
143.20.231.116,20179,TRUE,LHR,Europe,London,220 ms
143.20.231.49,20041,TRUE,LHR,Europe,London,220 ms
198.1.242.221,20176,TRUE,LHR,Europe,London,220 ms
198.1.242.95,20238,TRUE,LHR,Europe,London,220 ms
198.1.242.95,20122,TRUE,LHR,Europe,London,220 ms
143.20.231.57,20104,TRUE,LHR,Europe,London,220 ms
198.1.242.79,12168,TRUE,LHR,Europe,London,220 ms
143.20.231.144,20183,TRUE,LHR,Europe,London,220 ms
143.20.231.133,11333,TRUE,LHR,Europe,London,220 ms
198.1.242.209,20041,TRUE,LHR,Europe,London,220 ms
198.1.242.66,12166,TRUE,LHR,Europe,London,221 ms
198.1.242.216,12265,TRUE,LHR,Europe,London,221 ms
143.20.231.118,20119,TRUE,LHR,Europe,London,221 ms
143.20.231.205,20049,TRUE,LHR,Europe,London,221 ms
18.170.99.215,2055,TRUE,LHR,Europe,London,221 ms
143.20.231.37,18080,TRUE,LHR,Europe,London,221 ms
143.20.231.122,14330,TRUE,LHR,Europe,London,221 ms
143.20.231.41,20011,TRUE,LHR,Europe,London,221 ms
198.1.242.91,20055,TRUE,LHR,Europe,London,221 ms
143.20.231.56,20179,TRUE,LHR,Europe,London,221 ms
143.20.231.156,20185,TRUE,LHR,Europe,London,221 ms
143.20.231.119,11701,TRUE,LHR,Europe,London,221 ms
143.20.231.53,20142,TRUE,LHR,Europe,London,221 ms
143.20.231.203,18443,TRUE,LHR,Europe,London,221 ms
198.1.242.85,12343,TRUE,LHR,Europe,London,221 ms
198.1.242.214,18113,TRUE,LHR,Europe,London,221 ms
143.20.231.111,20179,TRUE,LHR,Europe,London,221 ms
198.1.242.76,20019,TRUE,LHR,Europe,London,221 ms
143.20.231.33,20142,TRUE,LHR,Europe,London,221 ms
198.1.242.71,20119,TRUE,LHR,Europe,London,221 ms
143.20.231.214,20179,TRUE,LHR,Europe,London,221 ms
198.1.242.209,20224,TRUE,LHR,Europe,London,221 ms
198.1.242.197,20249,TRUE,LHR,Europe,London,221 ms
198.1.242.197,20043,TRUE,LHR,Europe,London,221 ms
188.211.233.179,14003,TRUE,LHR,Europe,London,221 ms
143.20.231.205,20185,TRUE,LHR,Europe,London,221 ms
143.20.231.116,20076,TRUE,LHR,Europe,London,221 ms
198.1.242.73,20235,TRUE,LHR,Europe,London,222 ms
198.1.242.66,20126,TRUE,LHR,Europe,London,222 ms
198.1.242.203,20176,TRUE,LHR,Europe,London,222 ms
198.1.242.218,20073,TRUE,LHR,Europe,London,222 ms
198.1.242.208,20249,TRUE,LHR,Europe,London,222 ms
143.20.231.57,20119,TRUE,LHR,Europe,London,222 ms
198.1.242.213,11401,TRUE,LHR,Europe,London,222 ms
198.1.242.87,20076,TRUE,LHR,Europe,London,222 ms
